name,bot #,year,month,day,hour,min,sec,reading count,trial length,amb temp,track motor temp,track drive temp,track current,track rpm,all prof track follow err,conveyer drive temp,conveyer current,conveyer rpm,u asc,u dsc,u ht,u hb,u tcu,u tcd,u bcu,u bcd,l asc,l dsc,l ht,l hb,l tcu,l tcd,l bcu,l bcd
iBot117_20190226_144341,117.0,2019.0,2.0,26.0,14.0,43.0,41.0,3630.0,6.670166667,25.2,51.3,45.0,1861.0,7724.0,67.0,33.0,0.0,0.0,61.0,67.0,40.0,60.0,20.0,23.0,26.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot107_20190226_133211,107.0,2019.0,2.0,26.0,13.0,32.0,11.0,6104.0,24.10118333,26.1,61.0,47.0,1970.0,7746.0,73.0,30.0,0.0,0.0,62.0,70.0,38.0,73.0,33.0,35.0,23.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot126_20190226_144340,126.0,2019.0,2.0,26.0,14.0,43.0,40.0,3752.0,6.6692,25.3,52.1,42.0,1532.0,7889.0,74.0,32.0,0.0,0.0,51.0,46.0,36.0,74.0,28.0,23.0,20.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot107_20190226_133211,107.0,2019.0,2.0,26.0,13.0,32.0,11.0,6104.0,24.10118333,26.1,61.0,47.0,1970.0,7746.0,73.0,30.0,0.0,0.0,62.0,70.0,38.0,73.0,33.0,35.0,23.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot117_20190329_081241,117.0,2019.0,3.0,29.0,8.0,12.0,41.0,194694.0,348.1804833,30.5,53.7,45.0,1607.0,7412.0,94.0,43.0,0.0,0.0,94.0,63.0,80.0,71.0,39.0,21.0,39.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot116_20190319_095152,116.0,2019.0,3.0,19.0,9.0,51.0,52.0,5087.0,-0.00025,27.0,21.7,42.0,1557.0,7694.0,48.0,35.0,0.0,0.0,48.0,36.0,22.0,42.0,18.0,22.0,22.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot116_20190319_095152,116.0,2019.0,3.0,19.0,9.0,51.0,52.0,5087.0,-0.00025,27.0,21.7,42.0,1557.0,7694.0,48.0,35.0,0.0,0.0,48.0,36.0,22.0,42.0,18.0,22.0,22.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot116_20190314_145001,116.0,2019.0,3.0,14.0,14.0,50.0,1.0,39526.0,27.4736,39.8,58.3,68.0,902.0,0.0,9.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot116_20190314_074539,116.0,2019.0,3.0,14.0,7.0,45.0,39.0,27965.0,30.58933333,35.7,84.8,67.0,1956.0,5774.0,85.0,40.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,84.0,17.0,18.0,85.0,11.0,11.0,79.0
iBot117_20190328_105033,117.0,2019.0,3.0,28.0,10.0,50.0,33.0,93431.0,-0.00185,23.1,22.5,25.0,0.0,0.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot116_20190322_091503,116.0,2019.0,3.0,22.0,9.0,15.0,3.0,194359.0,-0.001666667,37.0,81.8,70.0,2040.0,6307.0,304.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,235.0,19.0,18.0,33.0,11.0,12.0,304.0
iBot110_20190226_133211,110.0,2019.0,2.0,26.0,13.0,32.0,11.0,5828.0,24.09888333,26.8,57.1,42.0,1657.0,7757.0,67.0,30.0,0.0,0.0,61.0,37.0,52.0,65.0,24.0,22.0,29.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot116_20190521_135420,116.0,2019.0,5.0,21.0,13.0,54.0,20.0,364597.0,-0.0004,30.7,61.7,47.0,1919.0,7243.0,122.0,32.0,0.0,0.0,63.0,122.0,37.0,67.0,27.0,35.0,64.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot116_20190319_113224,116.0,2019.0,3.0,19.0,11.0,32.0,24.0,2943.0,3.849966667,31.8,68.6,50.0,1748.0,7365.0,76.0,32.0,0.0,0.0,76.0,48.0,30.0,62.0,26.0,28.0,28.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
